cluster,gene
Myofibroblast,BTG2
Myofibroblast,ANTXR1
Myofibroblast,GPC3
Myofibroblast,RGS2
Myofibroblast,RGS5
Myofibroblast,ADAMTS1
CCL2.THBS1 Fib,CCL2
CCL2.THBS1 Fib,CCL11
CCL2.THBS1 Fib,SERPINE1
CCL2.THBS1 Fib,TNFRSF12A
CCL2.THBS1 Fib,CYR61
CCL2.THBS1 Fib,THBS1
CCL2.THBS1 Fib,NR4A1
CCL2.THBS1 Fib,PTX3
CCL2.THBS1 Fib,BIRC3
CCL2.THBS1 Fib,EGR3
CCL2.THBS1 Fib,EGR1
CCL2.THBS1 Fib,ZFP36
CCL2.THBS1 Fib,RELB
CCL2.THBS1 Fib,C11orf96
CCL2.THBS1 Fib,NFKB2
CCL2.THBS1 Fib,JUNB
CCL2.THBS1 Fib,TRIB1
CCL2.THBS1 Fib,EGR2
CCL2.THBS1 Fib,KLF10
CCL2.THBS1 Fib,SLCO2B1
CCL2.THBS1 Fib,EIF4A1
CCL2.THBS1 Fib,SRPX
CCL2.THBS1 Fib,SERTAD1
CCL2.THBS1 Fib,IRF1
CCL2.THBS1 Fib,CTSC
CCL2.THBS1 Fib,TNFAIP2
CCL2.THBS1 Fib,ZFP36L1
CCL2.THBS1 Fib,IER5
CCL2.THBS1 Fib,SLC2A3
CCL2.THBS1 Fib,SOD2
CCL2.THBS1 Fib,BHLHE40
CCL2.THBS1 Fib,EMILIN1
CCL2.THBS1 Fib,TNC
CCL2.THBS1 Fib,FOSB
CCL2.THBS1 Fib,FRMD4A
CCL2.THBS1 Fib,RGS16
CCL2.THBS1 Fib,SOCS3
CCL2.THBS1 Fib,ADM
CCL2.THBS1 Fib,PTGIR
CCL2.THBS1 Fib,MYC
CCL2.THBS1 Fib,SLC19A2
CCL2.THBS1 Fib,TGFBI
CCL2.THBS1 Fib,TYMP
CCL2.THBS1 Fib,IER3
CCL2.THBS1 Fib,CXCL12
CCL2.THBS1 Fib,ACTG1
CCL2.THBS1 Fib,CSRNP1
CCL2.THBS1 Fib,SRSF7
CCL2.THBS1 Fib,VCAM1
CCL2.THBS1 Fib,LOXL2
CCL2.THBS1 Fib,PTMA
CCL2.THBS1 Fib,ATF3
CCL2.THBS1 Fib,ACTN1
CCL2.THBS1 Fib,TUBB4B
CCL2.THBS1 Fib,UGCG
CCL2.THBS1 Fib,IFITM3
CCL2.THBS1 Fib,SERPINH1
CCL2.THBS1 Fib,APLNR
CCL2.THBS1 Fib,PSME2
CCL2.THBS1 Fib,MARCKSL1
CCL2.THBS1 Fib,PLK3
CCL2.THBS1 Fib,TNFAIP6
CCL2.THBS1 Fib,RPS26
CCL2.THBS1 Fib,MCL1
CCL2.THBS1 Fib,SLC20A1
CCL2.THBS1 Fib,CXCL2
CCL2.THBS1 Fib,ACTB
CCL2.THBS1 Fib,CEBPB
CCL2.THBS1 Fib,MAFF
CCL2.THBS1 Fib,LMNA
CCL2.THBS1 Fib,COL6A3
CCL2.THBS1 Fib,ZYX
CCL2.THBS1 Fib,DNAJA1
CCL2.THBS1 Fib,NNMT
CCL2.THBS1 Fib,AC020916.1
CCL2.THBS1 Fib,ICAM1
CCL2.THBS1 Fib,IER2
CCL2.THBS1 Fib,DPT
CCL2.THBS1 Fib,SFPQ
CCL2.THBS1 Fib,C3
CCL2.THBS1 Fib,CYCS
CCL2.THBS1 Fib,FOS
CCL2.THBS1 Fib,SLC39A14
CCL2.THBS1 Fib,PIM1
CCL2.THBS1 Fib,GAS6
CCL2.THBS1 Fib,NGFR
CCL2.THBS1 Fib,EGFL7
CCL2.THBS1 Fib,SLC43A3
CCL2.THBS1 Fib,C7
CCL2.THBS1 Fib,TCF21
CCL2.THBS1 Fib,MMP19
CCL2.THBS1 Fib,EDNRB
CCL2.THBS1 Fib,CCNL1
CCL2.THBS1 Fib,CDKN1A
CCL2.THBS1 Fib,RGS3
CCL2.THBS1 Fib,PTGS2
CCL2.THBS1 Fib,MIDN
CCL2.THBS1 Fib,FHL3
CCL2.THBS1 Fib,GADD45B
CCL2.THBS1 Fib,JUN
CCL2.THBS1 Fib,RCN1
CCL2.THBS1 Fib,XBP1
CCL2.THBS1 Fib,KDM6B
CCL2.THBS1 Fib,MEG3
CCL2.THBS1 Fib,VMP1
CCL2.THBS1 Fib,SRSF2
CCL2.THBS1 Fib,NAMPT
CCL2.THBS1 Fib,GEM
CCL2.THBS1 Fib,HSPA8
CCL2.THBS1 Fib,TUBA1C
CCL2.THBS1 Fib,RND3
CCL2.THBS1 Fib,PPP1R15A
CCL2.THBS1 Fib,JUND
CCL2.THBS1 Fib,SVEP1
CCL2.THBS1 Fib,HSPA5
CCL2.THBS1 Fib,SRSF3
CCL2.THBS1 Fib,GPRC5A
CCL2.THBS1 Fib,RPL22L1
CCL2.THBS1 Fib,ADAMTS4
CCL2.THBS1 Fib,DDX21
CCL2.THBS1 Fib,MYADM
CCL2.THBS1 Fib,CHRDL2
CCL2.THBS1 Fib,SPHK1
CCL2.THBS1 Fib,MEOX1
CCL2.THBS1 Fib,DUSP1
CCL2.THBS1 Fib,IL32
CCL2.THBS1 Fib,ATP13A3
CCL2.THBS1 Fib,FMO2
CCL2.THBS1 Fib,NR4A2
CCL2.THBS1 Fib,CYTOR
CCL2.THBS1 Fib,SRGN
CCL2.THBS1 Fib,FSTL3
CCL2.THBS1 Fib,HSPD1
CCL2.THBS1 Fib,PHLDA1
CCL2.THBS1 Fib,CEBPD
CCL2.THBS1 Fib,ANGPTL4
CCL2.THBS1 Fib,LRRFIP1
CCL2.THBS1 Fib,HSPA1A
CCL2.THBS1 Fib,VEGFA
CCL2.THBS1 Fib,FST
CCL2.THBS1 Fib,RARRES1
CCL2.THBS1 Fib,DNAJB1
CCL2.THBS1 Fib,RGCC
CCL2.THBS1 Fib,STEAP4
CCL2.THBS1 Fib,HES1
CCL2.THBS1 Fib,FHL2
CCL2.THBS1 Fib,KCNQ1OT1
CCL2.THBS1 Fib,GBP1
CCL2.THBS1 Fib,PLAU
CCL2.THBS1 Fib,CP
CCL2.THBS1 Fib,HSPA1B
CCL2.THBS1 Fib,PDLIM3
CCL2.THBS1 Fib,CXCL8
CCL2.THBS1 Fib,NPPC
CCL2.THBS1 Fib,PLAUR
CCL2.THBS1 Fib,FILIP1L
CCL2.THBS1 Fib,TM4SF1
