cluster,gene
CXCL10+CCL19+ C11 Marginal,C6
CXCL10+CCL19+ C11 Marginal,LYPD3
CXCL10+CCL19+ C11 Marginal,JAK2
CXCL10+CCL19+ C11 Marginal,RTP4
CXCL10+CCL19+ C11 Marginal,APOL1
CXCL10+CCL19+ C11 Marginal,CX3CL1
CXCL10+CCL19+ C11 Marginal,CXCL12
CXCL10+CCL19+ C11 Marginal,SECTM1
CXCL10+CCL19+ C11 Marginal,APOL2
CXCL10+CCL19+ C11 Marginal,EMID1
CXCL10+CCL19+ C11 Marginal,ADAM28
CXCL10+CCL19+ C11 Marginal,HAGHL
CXCL10+CCL19+ C11 Marginal,SERPINF2
CXCL10+CCL19+ C11 Marginal,SAMD9L
CXCL10+CCL19+ C11 Marginal,CTSC
CXCL10+CCL19+ C11 Marginal,TMEM200C
CXCL10+CCL19+ C11 Marginal,MUSK
CXCL10+CCL19+ C11 Marginal,CILP2
CXCL10+CCL19+ C11 Marginal,TLCD1
CXCL10+CCL19+ C11 Marginal,ANKRD33B
CXCL10+CCL19+ C11 Marginal,CSRP2
CXCL10+CCL19+ C11 Marginal,MOXD1
CXCL10+CCL19+ C11 Marginal,TNFRSF1B
CXCL10+CCL19+ C11 Marginal,IL27RA
CXCL10+CCL19+ C11 Marginal,GBP2
CXCL10+CCL19+ C11 Marginal,OAS2
CXCL10+CCL19+ C11 Marginal,HES4
CXCL10+CCL19+ C11 Marginal,LCNL1
CXCL10+CCL19+ C11 Marginal,MICALL2
CXCL10+CCL19+ C11 Marginal,NPB
CXCL10+CCL19+ C11 Marginal,SPNS2
CXCL10+CCL19+ C11 Marginal,RGS16
CXCL10+CCL19+ C11 Marginal,GPR176
CXCL10+CCL19+ C11 Marginal,FYB1
CXCL10+CCL19+ C11 Marginal,HERC6
CXCL10+CCL19+ C11 Marginal,DCLK1
CXCL10+CCL19+ C11 Marginal,CORO1A
CXCL10+CCL19+ C11 Marginal,TIFA
CXCL10+CCL19+ C11 Marginal,PIM3
CXCL10+CCL19+ C11 Marginal,JAK3
CXCL10+CCL19+ C11 Marginal,ELOVL2
CXCL10+CCL19+ C11 Marginal,SMAP2
CXCL10+CCL19+ C11 Marginal,RAB13
CXCL10+CCL19+ C11 Marginal,CCDC71L
CXCL10+CCL19+ C11 Marginal,TRAF2
CXCL10+CCL19+ C11 Marginal,ZNF267
CXCL10+CCL19+ C11 Marginal,IGFBP7
CXCL10+CCL19+ C11 Marginal,G0S2
CXCL10+CCL19+ C11 Marginal,BST2
CXCL10+CCL19+ C11 Marginal,SLC26A7
CXCL10+CCL19+ C11 Marginal,THY1
CXCL10+CCL19+ C11 Marginal,CD82
CXCL10+CCL19+ C11 Marginal,IFIT1
CXCL10+CCL19+ C11 Marginal,TDRD10
CXCL10+CCL19+ C11 Marginal,ZMYND15
